Parafia	Miejscowość	url	Adres	Diecezja	Dekanat	Województwo	place_id
Bł. Michała Kozala Biskupa i Męczennika	TRZEBIATÓW		Bł. Michała Kozala Biskupa i Męczennika|ul.Zagórska 21|72-320 TRZEBIATÓW|woj. zachodniopomorskie	ordynariat polowy	Pomorski Okręg Wojskowy	zachodniopomorskie	ChIJKefQrSFuAEcRIeC162PPCb8	AMBIGUOUS
bł. Michała Kozala BM	Janikowo	http://janikowokozal.parafia.info.pl/	bł. Michała Kozala BM|ul. Bp. Michała Kozala 1|88-160 Janikowo|woj. kujawsko-pomorskie	gnieźnieńska	Barcin	kujawsko-pomorskie	ChIJh1e5oRFZA0cRrI4OdMKmTBU	OK
bł. Michała Kozala BM	Gniezno		bł. Michała Kozala BM|ul. Poznańska 15/99|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >1<	wielkopolskie	ChIJkarThaGRBEcRVPN6TuDiz7c	AMBIGUOUS
bł. Michała Kozala BM	Słupca	http://www.parafiakozal.pl/	bł. Michała Kozala BM|ul. Kopernika 10|62-400 Słupca|woj. wielkopolskie	gnieźnieńska	słupecki	wielkopolskie	ChIJ9dR81Q_GBEcROvK7xwDm-XA	OK
bł. Michała Kozala BM	Wągrowiec	http://www.kozalwagrowiec.gniezno.opoka.org.pl/	bł. Michała Kozala BM|ul. Rzeczna 4a|62-100 Wągrowiec|woj. wielkopolskie	gnieźnieńska	wagrowiecki	wielkopolskie	ChIJEakg5WB4BEcRbiPuKeY3ixg	OK
Bł. Michała Kozala BM	Działoszyn		Bł. Michała Kozala BM|Pl. Jana Pawła II nr 1|98-355 Działoszyn|woj. łódzkie	częstochowska	DZIAŁOSZYŃSKI	łódzkie	ChIJR8KmlQWfEEcRYfNUWCCBOYg	AMBIGUOUS
Bł. Michała Kozala Bpa i M.	Śrem	http://www.kozal.srem.info/	Bł. Michała Kozala Bpa i M.|ul. Malczewskiego 2|63-100 Śrem|woj. wielkopolskie	poznańska	Śrem	wielkopolskie	ChIJy165ZL4ABUcRcrJknVMAziI	AMBIGUOUS
Bł. M. Teresy Ledóchowskiej	Muszyna	http://www.muszyna_bmtl-wiz.diecezja.tarnow.pl/	Bł. M. Teresy Ledóchowskiej|ul. Kościuszki 8b|33-370 Muszyna|woj. małopolskie	tarnowska	Krynica Zdrój	małopolskie	ChIJCZfZqTpxPkcRA0h5p3XdVdQ	OK
NOT_FOUND	bł. Piotra Frassatiego Łódź		bł. Piotra Frassatiego	Łódź	bł. Piotra Frassatiego|ul. Zielona 13|90-601 Łódź|woj. łódzkie	łódzka	Łódź-Śródmieście	łódzkie		NOT_FOUND
bł. Piotra Jerzego Frassati	Lubliniec		bł. Piotra Jerzego Frassati|ul. Sobieskiego 35|42-700 Lubliniec|woj. śląskie	gliwicka	Lubliniec	śląskie	ChIJoSWuet7cEEcRnmCL9LT4mkA	OK
Bł. Piotra Jerzego Frassati	LUBLINIEC		Bł. Piotra Jerzego Frassati|ul.Sobieskiego 35|42-703 LUBLINIEC	ordynariat polowy	2 Korpus Zmechanizowany - Kraków		ChIJoSWuet7cEEcRnmCL9LT4mkA	OK
bł. Radzyma Gaudentego	Gniezno	http://www.radzym.pl/	bł. Radzyma Gaudentego|ul. 22 Lipca 85|62-200 Gniezno|woj. wielkopolskie	gnieźnieńska	gnieźniński >2<	wielkopolskie	ChIJqUEV1fuQBEcRgLd5zkBckQ0	OK
NOT_FOUND	Bł. Reginy Protmann Gronowo		Bł. Reginy Protmann	Gronowo	Bł. Reginy Protmann|Gronowo|14-500 Gronowo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Braniewo	warmińsko-mazurskie		NOT_FOUND
Bł. Teresy Ledóchowskiej	Grabowo		Bł. Teresy Ledóchowskiej|Grabowo 34|11-705 Grabowo	warmińska (olsztyńska)	Mrągowo II		ChIJDY1oaXQQ4kYR74JoRObMd3w	AMBIGUOUS
Bł. Urszuli Ledóchowskiej	Złota Pińczowska		Bł. Urszuli Ledóchowskiej|Złota Pińczowska 279|28-425 Złota Pińczowska|woj. świętokrzyskie	kielecka	Wiślica	świętokrzyskie	ChIJCS8lWGTGF0cRgb9SPSy1KKQ	OK
Bł. Wincentego Kadłubka	Jędrzejów	http://jedrzejow.cystersi.pl/	Bł. Wincentego Kadłubka|ul. Klasztorna 20|28-300 Jędrzejów|woj. świętokrzyskie	kielecka	Jędrzejów	świętokrzyskie	ChIJ_59_pq-eF0cR-pqJFimICcE	AMBIGUOUS
bł. Władysława z Gielniowa	Warszawa	http://blwlad.com.pl/	bł. Władysława z Gielniowa|ul. Przy Bażantarni 3|02-793 Warszawa|woj. mazowieckie	warszawska	Warszawa-Ursynów	mazowieckie	ChIJV2NIDJ4tGUcRlQPp8nvQaas	OK
Bogarodzicy Dziewicy Matki Kościoła	Olsztyn	http://www.matkikosciola.olsztyn.pl/	Bogarodzicy Dziewicy Matki Kościoła|ul. Jarocka 42|10-687 Olsztyn|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Olsztyn IV - Jaroty	warmińsko-mazurskie	ChIJ_6FhNbx44kYRusYd6x5HOFk	OK
Bogurodzicy Maryi	Warszawa	http://www.bogurodzica.com.pl/	Bogurodzicy Maryi|ul. Powstańców Śląskich 67 a|01-355 Warszawa|woj. mazowieckie	warszawska	Warszawa-Jelonki	mazowieckie	ChIJ6zQfQx_LHkcR3EX1lTOeozg	OK
Bożego Ciała	Suraż		Bożego Ciała|ul. Zakościelna 2|18-105 Suraż|woj. podlaskie	białostocka	Białystok Nowe Miasto	podlaskie	ChIJU_O1e6jzH0cRUhd1R75neto	OK
Bożego Ciała	Bydgoszcz	http://bozecialo.pl/	Bożego Ciała|ul. Jesionowa 24|85-149 Bydgoszcz|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz III	kujawsko-pomorskie	ChIJy8wxDp8TA0cRhBZ1piDt1vg	OK
Bożego Ciała	Suwałki	http://suwalki.franciszkanie-warszawa.pl/	Bożego Ciała|ul. 11 Listopada 6|16-400 Suwałki|woj. podlaskie	ełcka	Suwałki - św. Benedykta i Romualda	podlaskie	ChIJZWgTt6sD4UYRr36Ahbi1dlY	OK
Bożego Ciała	Gdańsk	http://bozecialo.info/	Bożego Ciała|Gdańsk Morena ul. Piecewska 9|80-288 Gdańsk|woj. pomorskie	gdańska	Gdańsk Siedlce	pomorskie	ChIJa6oj3mB0_UYRGDebnbxl5CE	OK
Bożego Ciała	Pręgowo	https://www.google.pl/url?sa=t&rct=j&q=&esrc=s&source=web&cd=1&cad=rja&uact=8&ved=0ahUKEwil0aDz9pLTAhVpYZoKHeOSAGUQFggcMAA&url=http%3A%2F%2Fwww.pregowo-parafia.net%2F&usg=AFQjCNGzjH3BCaXOddf2LcnO_2nRVT-SZg&sig2=MYNPfD2Vm9m0RJEVsfQl1w	Bożego Ciała|Pręgowo ul. Kościelna 3|83-050 Pręgowo|woj. pomorskie	gdańska	Kolbudy	pomorskie	ChIJd7E0RZ13_UYRdErP_yVddtM	OK
