Parafia	Miejscowość	url	Adres	Diecezja	Dekanat	Województwo	place_id
Przenajświętszej Trójcy	Chełm	http://www.trojca-chelm.pl/parafia/	Przenajświętszej Trójcy|Pl. Jana Pawła II 2|22-100 Chełm|woj. lubelskie	lubelska	Chełm Zachód	lubelskie	ChIJY4kJaIeZI0cRUlaBtM6DHQY	AMBIGUOUS
Przenajświętszej Trójcy	Babice		Przenajświętszej Trójcy|Babice 54|37-754 Babice|woj. podkarpackie	przemyska (łac)	Dubiecko	podkarpackie	ChIJv4JqapCHPEcRF_SxqFRd1GY	OK
NOT_FOUND	Przeniesienia Relikwi Św. Mikołaja OLCHOWIEC		Przeniesienia Relikwi Św. Mikołaja	OLCHOWIEC	Przeniesienia Relikwi Św. Mikołaja|Olchowiec 173|38-543 OLCHOWIEC|woj. podkarpackie	bizantyjska przemysko-warszawska	Sanok	podkarpackie		NOT_FOUND
NOT_FOUND	rektorat przy kościele Świętej Katarzyny Aleksandryjskiej Dziewicy Męczennicy Święta Katarzyna		rektorat przy kościele Świętej Katarzyny Aleksandryjskiej Dziewicy Męczennicy	Święta Katarzyna	rektorat przy kościele Świętej Katarzyny Aleksandryjskiej Dziewicy Męczennicy|Święta Katarzyna 14|26-013 Święta Katarzyna	kielecka	Bodzentyn			NOT_FOUND
NOT_FOUND	Rozalii Dziewicy Pustelnicy i Świętego Marcina Biskupa Wyznawcy Zagańsk		Rozalii Dziewicy Pustelnicy i Świętego Marcina Biskupa Wyznawcy	Zagańsk	Rozalii Dziewicy Pustelnicy i Świętego Marcina Biskupa Wyznawcy|Zachełmie 149|26-050 Zagańsk|woj. świętokrzyskie	kielecka	Kielce Północ	świętokrzyskie		NOT_FOUND
Rozesłania Apostołów	Mrzygłód		Rozesłania Apostołów|Mrzygłód 93|38-503 Mrzygłód|woj. podkarpackie	przemyska (łac)	Sanok I	podkarpackie	ChIJsfOzJtpxPEcRaRH99_Z-Sr8	OK
Rozesłania Świętych Apostołów	Brzezie		Rozesłania Świętych Apostołów|Brzezie Kościelna 1|63-300 Brzezie|woj. wielkopolskie	kaliska	pleszewski	wielkopolskie	ChIJDR5BmDotBUcRyt9oWRbdyJI	OK
Rozesłania Świętych Apostołów	Gruszków		Rozesłania Świętych Apostołów|Gruszów 136|32-414 Gruszków|woj. małopolskie	krakowska	Dobczyce	małopolskie	ChIJW4D_EP17PUcRczz3dDfiS_U	OK
Rozesłania Św. Apostołów	Chełm	http://rozeslanie.pl/	Rozesłania Św. Apostołów|ul. Lubelska 55|22-100 Chełm|woj. lubelskie	lubelska	Chełm Zachód	lubelskie	ChIJK9IfeE6aI0cRS6rqe6UnpFE	OK
Sanktuarium MB Bieszczadzkiej	Jasień	http://www.michalici.pl/node/141	Sanktuarium MB Bieszczadzkiej|Jasień 6|38-700 Jasień|woj. podkarpackie	przemyska (łac)	Ustrzyki Dolne	podkarpackie	ChIJ_WKf6KTyO0cRKFrj0ZlsEDY	OK
Sanktuarium Narodzenia NMP	Piaseczno	http://www.sanktuarium-piaseczno.pl/	Sanktuarium Narodzenia NMP|Piaseczno 11|83-123 Piaseczno	pelplińska	Gniew		ChIJ__9LVD8uGUcRIafUQMSQ7U8	OK
Sanktuarium Relikwi Drzewa Krzyża Świętego	Święty Krzyż	http://www.swietykrzyz.pl/	Sanktuarium Relikwi Drzewa Krzyża Świętego|26-004 Święty Krzyż|woj. świętokrzyskie	sandomierska	Świętokrzyski	świętokrzyskie	ChIJG3KdyX0cGEcRmlHZKs85bjQ	OK
Siedmiu Boleści Najświętszej Maryi Panny	Kowale Pańskie		Siedmiu Boleści Najświętszej Maryi Panny|Kowale Pańskie|62-704 Kowale Pańskie|woj. wielkopolskie	włocławska	Dobra	wielkopolskie	ChIJQaZO1zgeG0cR6F0cwul69ZQ	OK
Siedmiu Boleści Najśw. Maryi Panny	Nieczajna Górna	http://nieczajna-wiz.diecezja.tarnow.pl/	Siedmiu Boleści Najśw. Maryi Panny|Nieczajna 336|33-205 Nieczajna Górna|woj. małopolskie	tarnowska	Dąbrowa Tarnowska	małopolskie	ChIJbY78WdJ7PUcR-4yuh3fOOZQ	OK
ss. Jana Chrzciciela i Michała Archanioła	Lubawa	http://www.dekanat.gminalubawa.pl/index.php?option=com_content&view=article&id=49&Itemid=59	ss. Jana Chrzciciela i Michała Archanioła|ul. Kupnera 17|14-260 Lubawa|woj. warmińsko-mazurskie	toruńska	Lubawa	warmińsko-mazurskie	ChIJBSYvC8VsHUcRcSsjz6u4LFw	OK
Stanisława BM	Solec Kujawski	http://www.stanislawsolec.tnb.pl/news.php	Stanisława BM|ul. 23 Stycznia 5|86-050 Solec Kujawski|woj. kujawsko-pomorskie	bydgoska	Bydgoszcz IV	kujawsko-pomorskie	ChIJ-1sKwPk-A0cRjBvkS3_iJPY	OK
Stanisława BM	Damasławek		Stanisława BM|ul. Kościelna 4|62-110 Damasławek|woj. wielkopolskie	gnieźnieńska	damasławski	wielkopolskie	ChIJP6_d_Q9_A0cRNrRoWaK2zQk	OK
Stygmatów Świętego Franciszka z Asyżu	Koszarowa Bystra	http://www.koszarawa.franciszkanie.pl/	Stygmatów Świętego Franciszka z Asyżu|Bystra 677|34-332 Koszarowa Bystra|woj. śląskie	bielsko-żywiecka	Jeleśniański	śląskie	ChIJAcJCe8HUFUcRyzE6ABdPQxs	OK
Stygmatów Św. Franciszka	Nowy Dwór Wejherowski	http://www.parafiastygmaty.pl/	Stygmatów Św. Franciszka|Nowy Dwór Wejherowski ul. Ks. Jana Pawłowskiego 1|84-206 Nowy Dwór Wejherowski|woj. pomorskie	gdańska	Wejcherowo	pomorskie	ChIJhdpB5RNE_UYRwndUDvuPzAU	OK
Stygmatów św. Franciszka z Asyżu	Ostrowy nad Okszą		Stygmatów św. Franciszka z Asyżu|Ostrowy nad Okszą ul. Zadworna 3|42-122 Ostrowy nad Okszą|woj. śląskie	częstochowska	MIEDŹNOWSKI	śląskie	ChIJA-L8sTmlEEcRYtJ0JkQfPEg	OK
Stygmatów św. Franciszka z Asyżu	Tomisław		Stygmatów św. Franciszka z Asyżu|Tomisław 52|59-724 Tomisław|woj. dolnośląskie	legnicka	Bolesławiec Zachód	dolnośląskie	ChIJOy1MEgPLCEcR2ZOhNHD2QDc	OK
Stygmatów Św. Franciszka z Asyżu	Alwernia	http://bernardyni-alwernia.pl/	Stygmatów Św. Franciszka z Asyżu|ul. Klasztorna 1|32-066 Alwernia	krakowska	Babice		ChIJMdPTdlTyFkcRipr2NDOPP-A	OK
sw. Floriana	Białystok	http://archibial.pl/parafie/info/113-sw-floriana-bialystok/	sw. Floriana|ul. H. Ordonówny 3|15-750 Białystok|woj. podlaskie	białostocka	Białystok Bacieczki	podlaskie	ChIJq-ZdtG_8H0cRDA4jBZhNKm8	OK
Ścięcia Świetego Jana Chrzciciela	Tychy	http://janchrzciciel.tychy.pl/	Ścięcia Świetego Jana Chrzciciela|ul. M. Kopernika 5|43-100 Tychy|woj. śląskie	katowicka	Tychy Stare	śląskie	ChIJN7RCgx3IFkcRebR3WuXtWhY	OK
Ścięcia Świętego Jana Chrzciciela	Mysłowice	http://www.janchrzciciel.katowice.opoka.org.pl/	Ścięcia Świętego Jana Chrzciciela|ul. M. Jastruna 15|41-400 Mysłowice|woj. śląskie	katowicka	Mysłowice	śląskie	ChIJKyNRcULFFkcR0tld7o6bVVg	OK
Ścięcia Świętego Jana Chrzciciela	Chojnice	http://www.bazylikachojnice.pl/	Ścięcia Świętego Jana Chrzciciela|pl. Kościelny 5|89-600 Chojnice|woj. pomorskie	pelplińska	Chojnice	pomorskie	ChIJx3izekRGAkcRLLDrwfvsqfI	OK
ścięcia św. Jana Chrzciciela	Góra Św. Jana		ścięcia św. Jana Chrzciciela|Góra św. Jana 90|34-623 Góra Św. Jana|woj. małopolskie	tarnowska	Tymbark	małopolskie	ChIJH7DVEFsRFkcRkjEx6uvRNQc	OK
Ścięcia św. Jana Chrzciciela	Pilchowice	http://parafiapilchowice.pilchowice.pl/	Ścięcia św. Jana Chrzciciela|ul. Dworcowa 35|44-145 Pilchowice|woj. śląskie	gliwicka	Gliwice Ostropa	śląskie	ChIJ14yjNIM2EUcRVHoYLQHg2cU	OK
Ścięcia św. Jana Chrzciciela	Piaski		Ścięcia św. Jana Chrzciciela|Piaski|88-153 Piaski|woj. kujawsko-pomorskie	gnieźnieńska	kruszwicki	kujawsko-pomorskie	ChIJ72aK0dmqHEcR0SgpHArnXIQ	OK
Ścięcia św. Jana Chrzciciela	Stara Kamienica		Ścięcia św. Jana Chrzciciela|Stara Kamienica 150|58-512 Stara Kamienica|woj. dolnośląskie	legnicka	Szklarska Poręba	dolnośląskie	ChIJd3GrOqfZDkcReGAZSLeXPuc	AMBIGUOUS
Ścięcia Św. Jana Chrzciciela	Ruda Śląska Godula	http://www.jch-godula.katowice.opoka.org.pl/	Ścięcia Św. Jana Chrzciciela|ul. Karola Goduli 22|41-703 Ruda Śląska Godula	katowicka	Ruda Śląska		ChIJw-xphK3SFkcRs5x9pbD7Atw	OK
Ścięcia Św. Jana Chrzciciela	Grzawa		Ścięcia Św. Jana Chrzciciela|Grzawa ul. Kościelna 1|43-227 Grzawa|woj. śląskie	katowicka	Miedźna	śląskie	ChIJX88kzvK8FkcRQWxXSABI43E	OK
Ścięcia Św. Jana Chrzciciela	Grobniki		Ścięcia Św. Jana Chrzciciela|ul. Kościelna 2|48-100 Grobniki|woj. opolskie	opolska	Głubczyce	opolskie	ChIJxQfsSWt2EUcRSGkhE7J88qE	OK
Ścięcia Św. Jana Chrzciciela	Baranów Sandomierski	http://parafialnie.pl/parafia/baranow-sandomierski/parafia-pw-sciecia-sw-jana-chrzciciela	Ścięcia Św. Jana Chrzciciela|ul. Kościuszki 3|39-450 Baranów Sandomierski|woj. podkarpackie	sandomierska	Baranów Sandomierski	podkarpackie	ChIJJZZ3NBZGPUcRA4pA5dgnctw	AMBIGUOUS
Ścięcia Św. Jana Chrzciciela	Mszanna	http://diecezja.radiopodlasie.pl/?pageId=63&pr=223	Ścięcia Św. Jana Chrzciciela|Mszanna 4|08-200 Mszanna|woj. mazowieckie	siedlecka	Łosice	mazowieckie	ChIJ0fFXS57oIUcRu4JJhsRCagQ	OK
NOT_FOUND	Ścięcia Św. Jana Chrzciciela Choroszczynka		Ścięcia Św. Jana Chrzciciela	Choroszczynka	Ścięcia Św. Jana Chrzciciela|Choroszczynka 10|21-523 Choroszczynka|woj. lubelskie	siedlecka	Terespol	lubelskie		NOT_FOUND
Ścięcia Św. Jana Chrzciciela	Nowogród		Ścięcia Św. Jana Chrzciciela|ul. Młyńska 4|87-400 Nowogród|woj. kujawsko-pomorskie	włocławska	Czernikowo	kujawsko-pomorskie	ChIJA2Ypyks6HkcRy1uyM-k-__k	OK
Ścięcia św. Jana Chrzciciela (Chojnica-Morasko)	Suchy Las	http://parafiamorasko.pl/	Ścięcia św. Jana Chrzciciela (Chojnica-Morasko)|ul. Bogusławskiego 3|62-002 Suchy Las|woj. wielkopolskie	poznańska	Poznań-Piątkowo	wielkopolskie	ChIJDWwNXvBCBEcRvNKb_UL3Zs4	OK
NOT_FOUND	Ścięcia Św. Jana Chrzciciela i Świętej Trójcy Budzynek		Ścięcia Św. Jana Chrzciciela i Świętej Trójcy	Budzynek	Ścięcia Św. Jana Chrzciciela i Świętej Trójcy|Budzynek 21|99-205 Budzynek|woj. łódzkie	łódzka	Poddębice	łódzkie		NOT_FOUND
ŚŚ. Apostołów Piotra i Pawła	Nowy Żmigród	http://www.parafianowyzmigrod.pl/	ŚŚ. Apostołów Piotra i Pawła|ul. Kościelna 2|38-230 Nowy Żmigród|woj. podkarpackie	rzeszowska	Nowy Żmigród	podkarpackie	ChIJDRKW9lY0PEcRPOzmAKhkYpo	OK
ŚŚ. Apostołów Piotra i Pawła	Zagorzyce		ŚŚ. Apostołów Piotra i Pawła|Zagorzyce 224|39-126 Zagorzyce|woj. podkarpackie	rzeszowska	Sędziszów Małopolski	podkarpackie	ChIJk9ty3YoDPUcRGnt9db1pHuI	AMBIGUOUS
śś. Apostołów Piotra i Pawła oraz Najświętszej Maryi Panny z Fatimy	Grudziądz	http://diecezja-torun.pl/diecezja/parafia/69/parafia-pw-swietych-apostolow-piotra-i-pawla-w-grudziadzu-drugi-patron-najswietsza-maryja-panna-z-fatimy	śś. Apostołów Piotra i Pawła oraz Najświętszej Maryi Panny z Fatimy|ul. Ikara 6|86-311 Grudziądz|woj. kujawsko-pomorskie	toruńska	Grudziądz II	kujawsko-pomorskie	ChIJ0QES-s3RAkcRBe60iyRh_nc	OK
ŚŚ. Kosmy i Damiana	Męcina Wielka		ŚŚ. Kosmy i Damiana|Męcina Wielka 39|38-307 Męcina Wielka|woj. małopolskie	rzeszowska	Gorlice	małopolskie	ChIJc2pq-NLIPUcR94RBWV6E0rg	AMBIGUOUS
śś. Piotra i Pawła	Złotów	http://www.parafiapiotraipawlazlotow.org/	śś. Piotra i Pawła|ul. Leśną 28|77-400 Złotów|woj. wielkopolskie	bydgoska	Złotów I	wielkopolskie	ChIJQ43gHULFA0cR59rDbhLeWPw	AMBIGUOUS
śś. Piotra i Pawła	Mąkoszyce		śś. Piotra i Pawła|ul. Kościelna 7|49-315 Mąkoszyce|woj. opolskie	wrocławska	Brzeg-Północ	opolskie	ChIJUdS0VwQ8EEcRbqdTPvBD3kU	OK
śś. Piotra i Pawła	Sułów Wielki		śś. Piotra i Pawła|Sułów Wielki 8|56-210 Sułów Wielki|woj. dolnośląskie	wrocławska	Góra Śląska-Wschód	dolnośląskie	ChIJMaqtfYaCBUcR6isXYT_Ehbc	AMBIGUOUS
śś. Piotra i Pawła	Kąty Wrocławskie	http://parafiakatywroclawskie.pl/	śś. Piotra i Pawła|ul. Kościelna 2|55-080 Kąty Wrocławskie|woj. dolnośląskie	wrocławska	Kąty Wrocławskie	dolnośląskie	ChIJofPWH_u4D0cRpCl1DdXOI98	OK
śś. Piotra i Pawła	Sułów	http://sulow.salezjanie.pl/	śś. Piotra i Pawła|ul. Kościelna 6|56-300 Sułów|woj. dolnośląskie	wrocławska	Milicz	dolnośląskie	ChIJ2cBbZF5eBUcRRwSY0IdBoKU	OK
śś. Piotra i Pawła	Namysłów	http://namyslow.archidiecezja.wroc.pl/	śś. Piotra i Pawła|ul. Kościelna 3|46-100 Namysłów|woj. opolskie	wrocławska	Namysłów-Wschód	opolskie	ChIJc8tuQrsWEEcRB8Ut-uiyN5g	OK
śś. Piotra i Pawła	Oława	http://www.petrus.olawa.pl/	śś. Piotra i Pawła|pl. Zamkowy 16|55-200 Oława|woj. dolnośląskie	wrocławska	Oława	dolnośląskie	ChIJUzEE7nUnEEcRtvJGdNKGWoA	OK
śś. Piotra i Pawła	Trzebnica	http://www.trzebnica.archidiecezja.wroc.pl/	śś. Piotra i Pawła|ul. Drzymały 10/3|55-100 Trzebnica|woj. dolnośląskie	wrocławska	Trzebnica	dolnośląskie	ChIJDchzMF_yD0cRyJYnQEvI-W8	OK
śś. Piotra i Pawła	Ziębice	http://ziebice.eparafia.pl/	śś. Piotra i Pawła|ul. Kolejowa 27B|57-220 Ziębice|woj. dolnośląskie	wrocławska	Ziębice	dolnośląskie	ChIJHarzNw8oDkcR2zGu571mD0s	OK
ŚŚ. Stanisława i Wojciecha	Poręby Dymarskie	http://poreby.dymarskie.rzeszow.opoka.org.pl/	ŚŚ. Stanisława i Wojciecha|Poręby Dymarskie 53a|36-105 Poręby Dymarskie|woj. podkarpackie	rzeszowska	Kolbuszowa	podkarpackie	ChIJP7-dt-ciPUcR5Z7L3mMiON8	OK
Św.Bartłomieja	BARANOWO	https://www.facebook.com/UKSIskraBaranowo/	Św.Bartłomieja|ul.Ks.Jana Trzaskomy 6|06-320 BARANOWO|woj. mazowieckie	łomżyńska	Kadzidło	mazowieckie	ChIJWeAvooZyHkcRywViw1Yspbg	OK
Św.Brata Alberta Chmielowskiego	ŚWIEBODZICE	http://parafia-alberta.eu/	Św.Brata Alberta Chmielowskiego|ul.Mieszka Starego 2|58-160 ŚWIEBODZICE|woj. dolnośląskie	świdnicka	Świebodzice	dolnośląskie	ChIJadFE4LdUDkcRrLnhku4vOJo	OK
św.Gerarda Majella	Lubaszowa		św.Gerarda Majella|Lubaszowa 33|33-172 Lubaszowa|woj. małopolskie	tarnowska	Tuchów	małopolskie	ChIJjQjyEOqWPUcRxrLZtTZOPcU	AMBIGUOUS
Świetego Andrzeja Apostoła	Rożnowice	http://parafiaroznowice.pl/	Świetego Andrzeja Apostoła|Rożnowice 124|38-323 Rożnowice|woj. małopolskie	rzeszowska	Biecz	małopolskie	ChIJ87SRfyS_PUcRW1ToX0iRV00	OK
Świetego Marcina	Pisarzowice	http://www.pisarzowice.duszpasterstwa.bielsko.pl/	Świetego Marcina|ul. Bielska 63|43-332 Pisarzowice|woj. śląskie	bielsko-żywiecka	Wilamowicki	śląskie	ChIJIxV_BFeYFkcRom1jZ-h-Ci0	OK
Świetego Wita	Tuliszków	http://www.web.diecezja.wloclawek.pl/parafia/swwita_tuliszkow	Świetego Wita|ul. Poznańska 1|62-740 Tuliszków|woj. wielkopolskie	włocławska	Tuliszków	wielkopolskie	ChIJhZn79pAlG0cR5Avd-GfR6eM	OK
Świetego Władysława Króla	Kunów		Świetego Władysława Króla|ul. Kościelna 19|27-415 Kunów|woj. świętokrzyskie	sandomierska	Szewna	świętokrzyskie	ChIJPcAguP0OGEcR3S7xh-aaVUM	OK
Świetej Barbary	Boguszowice	http://www.boguszowice-os.pl/	Świetej Barbary|ul. J. Lompy 18|44-253 Boguszowice|woj. śląskie	katowicka	Boguszowice	śląskie	ChIJt1sMx8pNEUcR4YPxHmm09kU	OK
Świetej Barbary	Staszów	http://swietabarbara.pl/	Świetej Barbary|ul. A. Mickiewicza 21|28-200 Staszów|woj. świętokrzyskie	sandomierska	Staszów	świętokrzyskie	ChIJuWg2shRYPUcR9x3YG7nSLIU	OK
Świetej Katarzyny i Opatrzności Bożej	Jastrzębie Zdrój-Górne	http://www.katarzyna.katowice.opoka.org.pl/	Świetej Katarzyny i Opatrzności Bożej|ul. Pszczyńska 128 b|44-335 Jastrzębie Zdrój-Górne|woj. śląskie	katowicka	Jastrzębie Górne	śląskie	ChIJO3QpORpTEUcRNq9Bggiy5rU	OK
Świetej Marii Magdaleny	Ruda Śląska Bielszowice	http://www.mm-bielszowice.katowice.opoka.org.pl/	Świetej Marii Magdaleny|ul. E. Kokota 152|41-711 Ruda Śląska Bielszowice|woj. śląskie	katowicka	Kochłowice	śląskie	ChIJRefYBCgzEUcRE4ctPA__Su0	OK
Świetych Szymona i Judy Tadeusza	Stary Targ		Świetych Szymona i Judy Tadeusza|ul. Świerczewskiego 10|82-410 Stary Targ|woj. pomorskie	elbląska	SZTUM	pomorskie	ChIJ6yN52SCqAkcRQKh0vh7ybQw	OK
Świętego Alberta Chmielowskiego	Łódź	http://parafie.archidiecezja.lodz.pl/swietyalbert/	Świętego Alberta Chmielowskiego|ul. B. Bartoka 2|92-547 Łódź|woj. łódzkie	łódzka	Łódź-Widzew	łódzkie	ChIJUZ5iI6rMG0cRlvvnWFmD15s	OK
Świętego Aleksego	Płock-Trzepowo		Świętego Aleksego|ul. Krzywa 15|09-402 Płock-Trzepowo|woj. mazowieckie	płocka	Płocka-Zachód	mazowieckie	ChIJ3bHpgAxwHEcR_Nu6S69Jirg	OK
Świętego Andrzeja Apostoła	Osiek	http://www.parafia-osiek.pl/	Świętego Andrzeja Apostoła|ul. Kościelna 13|32-608 Osiek|woj. małopolskie	bielsko-żywiecka	Osiecki	małopolskie	ChIJjYbR68yWFkcRuwoeUHIFErE	OK
Świętego Andrzeja Apostoła	Gilowice	http://gilowice.duszpasterstwa.bielsko.pl/	Świętego Andrzeja Apostoła|ul. Gilowice 71|34-322 Gilowice|woj. śląskie	bielsko-żywiecka	Żywiecki	śląskie	ChIJV613B9spFEcR5_hbipffzcg	OK
Świętego Andrzeja Apostoła	Nawarzyce	http://www.diecezja.kielce.pl/parafie/nawarzyce-sw-andrzeja-ap	Świętego Andrzeja Apostoła|Nawarzyce 46|28-330 Nawarzyce|woj. świętokrzyskie	kielecka	Wodzisław	świętokrzyskie	ChIJbXmc3z-jF0cRqLXxi0tv3d8	OK
Świętego Andrzeja Apostoła	Barczewo	http://ofmbarczewo.cal24.pl/	Świętego Andrzeja Apostoła|ul. Nowowiejskiego 4|11-010 Barczewo|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Barczewo	warmińsko-mazurskie	ChIJQWkiH2Nw4kYRUOOQ7VRHDqA	OK
Świętego Andrzeja Apostoła	Konojad	http://konojad.pl/	Świętego Andrzeja Apostoła|ul. Kościelna 3|64-061 Konojad|woj. wielkopolskie	poznańska	Kościan	wielkopolskie	ChIJa57Wir61BUcRBNtMYJIKtRg	OK
Świętego Andrzeja Apostoła	Chałupki Dębniańskie	http://www.chalupkidebnianskie.parafia.info.pl/	Świętego Andrzeja Apostoła|Grodzisko Nowe 273|37-306 Chałupki Dębniańskie|woj. podkarpackie	przemyska (łac)	Leżajsk I	podkarpackie	ChIJYfui5Mm_PEcRLqF4l4PpfLE	OK
Świętego Andrzeja Apostoła	Suchedniów	http://www.parafiasuchedniow.pl/	Świętego Andrzeja Apostoła|ul. Kościelna 11|26-130 Suchedniów|woj. świętokrzyskie	radomska	Skarżysko Kamienna	świętokrzyskie	ChIJlzday5c7GEcRnhBWiyBjMF8	OK
NOT_FOUND	Świętego Andrzeja Apostoła Lipsko		Świętego Andrzeja Apostoła	Lipsko	Świętego Andrzeja Apostoła|Lipsko Mogiłek 2|37-610 Lipsko|woj. podkarpackie	zamojsko-lubaczowska	Narol	podkarpackie		NOT_FOUND
Świętego Andrzeja Apostoła	Boruszyn	http://parafiaboruszyn.pl/	Świętego Andrzeja Apostoła|Boruszyn 53|64-712 Boruszyn|woj. wielkopolskie	poznańska	Czarnków	wielkopolskie	ChIJdwF50JgPBEcRBiu3tFDHQ7c	AMBIGUOUS
Świętego Andrzeja Apostoła	Komorniki	http://parafiakomorniki.pl/	Świętego Andrzeja Apostoła|ul. Kościelna 32|62-052 Komorniki|woj. wielkopolskie	poznańska	Luboń	wielkopolskie	ChIJYyaFraBPBEcR2GRQvNJXQYE	OK
Świętego Andrzeja Apostoła	Konin	http://www.sw-andrzej.konin.pl/	Świętego Andrzeja Apostoła|ul. Gosławicka 38|62-505 Konin|woj. wielkopolskie	włocławska	Konin III	wielkopolskie	ChIJXbxOFcI1G0cR9cAcyaLktLg	OK
Świętego Andrzeja Apostoła	Witowo		Świętego Andrzeja Apostoła|Witowo 37|88-231 Witowo|woj. kujawsko-pomorskie	włocławska	Piotrków Kujawski	kujawsko-pomorskie	ChIJ3QExnnjrFUcRJNKjJMXDD-A	OK
Świętego Andrzeja Apostoła i Świętego Rocha	Ramsowo		Świętego Andrzeja Apostoła i Świętego Rocha|Ramsowo 84|11-014 Ramsowo	warmińska (olsztyńska)	Barczewo		ChIJOylX1Rpu4kYRhI5A5IhbNyY	OK
Świętego Andrzeja Boboli	Bielsko-Biała		Świętego Andrzeja Boboli|ul. Św. Andrzeja Boboli 41|43-316 Bielsko-Biała|woj. śląskie	bielsko-żywiecka	Bielsko-Biała II (Starobielski)	śląskie	ChIJY7pFCo6fFkcRpgYvfHSGo5s	OK
Świętego Andrzeja Boboli	Czechowice-Dziedzice		Świętego Andrzeja Boboli|ul. Sobieskiego 40|43-502 Czechowice-Dziedzice|woj. śląskie	bielsko-żywiecka	Czechowicki	śląskie	ChIJAUwFc3GjFkcR84-yhq8O000	OK
Świętego Andrzeja Boboli	Siemiatycze	http://www.bobolasiemiatycze.pl/	Świętego Andrzeja Boboli|ul. Kościelna 1|17-300 Siemiatycze|woj. podlaskie	drohiczyńska	Siemiatycze	podlaskie	ChIJJaVJNhXRIUcRKlDdNaM5I4s	OK
Świętego Andrzeja Boboli	Leszczyny	http://www.parafialeszczyny.wiara.pl/	Świętego Andrzeja Boboli|ul. ks. Pojdy 104|44-238 Leszczyny|woj. śląskie	katowicka	Dębieńsko	śląskie	ChIJ3SpXmS5KEUcRzj2KOCx1tRQ	OK
Świętego Andrzeja Boboli	Ruda Śląska Wirek		Świętego Andrzeja Boboli|ul. Wyzwolenia 215|41-710 Ruda Śląska Wirek|woj. śląskie	katowicka	Kochłowice	śląskie	ChIJlQNW5dnMFkcRo-1NDdOtPPc	OK
Świętego Andrzeja Boboli	Lublin	http://www.bobola.pl	Świętego Andrzeja Boboli|ul. I. Paderewskiego 20|20-860 Lublin|woj. lubelskie	lubelska	Lublin-Północ	lubelskie	ChIJR5U0XwJaIkcRqfFarU58ZgE	OK
Świętego Andrzeja Boboli	Huta (Gębice)		Świętego Andrzeja Boboli|ul. Poznańska 33|64-708 Huta (Gębice)|woj. wielkopolskie	poznańska	Czarnków	wielkopolskie	ChIJDwWjCAAIBEcRd3Tiu9w-sY4	OK
Świętego Andrzeja Boboli	Ruda Wolińska		Świętego Andrzeja Boboli|Ruda Wolińska 51|08-117 Ruda Wolińska|woj. mazowieckie	siedlecka	Domanice	mazowieckie	ChIJo8jUOL9NH0cRGp860_F-VIo	OK
NOT_FOUND	Świętego Andrzeja Boboli Krajnik Górny		Świętego Andrzeja Boboli	Krajnik Górny	Świętego Andrzeja Boboli|Krajnik Górny 9|74-506 Krajnik Górny|woj. zachodniopomorskie	szczecińsko-kamieńska	Chojna	zachodniopomorskie		NOT_FOUND
NOT_FOUND	Świętego Andrzeja Boboli Bystre		Świętego Andrzeja Boboli	Bystre	Świętego Andrzeja Boboli|Bystre 51|37-418 Bystre|woj. podkarpackie	zamojsko-lubaczowska	Biłgoraj-Południe	podkarpackie		NOT_FOUND
Świętego Andrzeja Boboli	Bukowa	http://www.bukowa.zamojskolubaczowska.pl/	Świętego Andrzeja Boboli|Bukowa|23-400 Bukowa|woj. lubelskie	zamojsko-lubaczowska	Biłgoraj-Północ	lubelskie	ChIJLVQErvIxI0cR2XOn-ncK-jE	OK
Świętego Andrzeja Boboli	Kosobudy		Świętego Andrzeja Boboli|Kostobudy 37|22-470 Kosobudy|woj. lubelskie	zamojsko-lubaczowska	Krasnobród	lubelskie	ChIJqw_8FppEI0cRIZWhIkratnE	OK
Świętego Andrzeja Boboli	Basznia Dolna	http://www.diecezja.zamojskolubaczowska.pl/parafia,86	Świętego Andrzeja Boboli|Mierzwy 1|37-621 Basznia Dolna|woj. podkarpackie	zamojsko-lubaczowska	Lubaczów	podkarpackie	ChIJwdD8S3lQO0cR_RIy9qyxiO8	OK
Świętego Andrzeja Boboli	Stare Miasto		Świętego Andrzeja Boboli|Stare Miasto|37-300 Stare Miasto|woj. podkarpackie	przemyska (łac)	Leżajsk I	podkarpackie	ChIJQ2e0yYXGPEcREHG-JYHEetA	AMBIGUOUS
Świętego Andrzeja Boboli	Golczewo		Świętego Andrzeja Boboli|ul. Zwycięstwa 33|72-410 Golczewo|woj. zachodniopomorskie	szczecińsko-kamieńska	Golczewo	zachodniopomorskie	ChIJ_8u74cmAAEcR7foLFweu8Rw	OK
Świętego Antoniego	Kalna	http://www.kalna.katolik.bielsko.pl/	Świętego Antoniego|Kalna|43-376 Kalna|woj. śląskie	bielsko-żywiecka	Łodygowicki	śląskie	ChIJJ3lRWtYmFEcRl4PZUzQShNg	OK
Świętego Antoniego	Florczaki		Świętego Antoniego|Florczaki 40|14-105 Florczaki|woj. warmińsko-mazurskie	warmińska (olsztyńska)	Łutka	warmińsko-mazurskie	ChIJr0mOy6id4kYRK-_Hzxh4MM8	AMBIGUOUS
NOT_FOUND	Świętego Antoniego Ściechów		Świętego Antoniego	Ściechów	Świętego Antoniego|Ściechów 86|66-433 Ściechów|woj. lubuskie	szczecińsko-kamieńska	Myślibórz	lubuskie		NOT_FOUND
