Parafia	url	niedzielne	powszednie	debug_url
Parafia pw. św. Michała Archanioła	http://blociszewo.archpoznan.pl	Msze św. w niedziele: godz. 8.00, godz. 10.00, godz. 11.30	Msze św. w dni powszednie: godz. 18.30 (w czasie zimowym godz. 17.00)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,361/
Parafia pw. Najświętszego Serca Jezusa	http://www.bojanowopoznanskie.archpoznan.pl	Msze św. w niedziele: 7.00, 9.00, 11.00, 18.00; Golina Wielka: 8.00; Trzebosz: 10.00; Pakówka – DPS: sobota 16.00	Msze św. w dni powszednie: od 01 kwietnia do 30 września o godz. 9.00 i 18.30; od 01 października do 31 marca o godz. 9.00 i 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,292/
Parafia pw. Najświętszego Serca Pana Jezusa	http://www.parafia-bolechowo.pl	Msze św. w niedziele: 8:00, 9:30, 11:30; sobota: 16:45	Msze św. w dni powszednie: 18:00 z wyjątkiem środy - Msza św. o 8:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,44/
Parafia pw. Chrystusa Króla	http://www.parafiabolewice.pl	Msze św. w niedziele: 9:00, 11:00	Msze św. w dni powszednie: 18.00 - za wyjątkiem czwartku - 8.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,153/
Parafia pw. Matki Bożej Królowej Rodzin	http://www.parafiaborowiec.pl	Msze św. w niedziele: 8.00, 10.00, 11.30 - z udziałem dzieci, 19.00	Msze św. w dni powszednie: 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,106/
Parafia pw. św. Andrzeja Ap.	http://www.parafia-boruszyn.pl	Msze św. niedzielne: 9:00, 10:30, 12:00	Msze św. w dni powszednie: 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,37/
Parafia pw. św. Jadwigi	http://www.brenno.archpoznan.pl	Msze św. w niedziele: 8:30, 10:30, 12:00	Msze św. w dni powszednie: wtorek 7:00, pozostałe dni 18:00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,272/
Parafia pw. św. Katarzyny	http://www.brodnica.archpoznan.pl	Msze św. w niedziele: godz. 8.00, godz. 9.30 (Szołdry), godz. 11.00	Msze św. w dni powszednie: godz. 18.00, w czwartki godz. 8.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,360/
Parafia pw. św. Andrzeja Ap.	http://www.brodypoznanskie.pl	Msze św. w niedziele: 7:30, 9:30, 11:15, 18:30	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,194/
Parafia pw. św. Stanisława Bpa	http://parafiabuk.pl/	Msze św. w niedziele: godz. 7.00, godz. 8.15, godz. 9.30, godz. 10.45, godz. 12.00, godz. 18.30	Msze św. w dni powszednie: godz. 7.00, godz. 7.30, godz. 18.30 lub godz. 7.00, godz. 18.30, godz. 19.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,29/
Parafia pw. Niepokalanego Poczęcia NMP	http://www.parafia-bytyn.pl	Msze św. w niedziele: 9:00, 11:00	Msze św. w dni powszednie: pn., wt., czw., pt., sob.: 18:00; śr. 8:30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,193/
Parafia pw. Podwyższenia Krzyża Świętego	http://parafiacerekwica.pl/	Msze św. w niedziele: Cerekwica sb. 18.30, nd. godz. 8.00, godz. 11.00; Pamiątkowo - Filia sb. godz. 17.00, nd. godz 9.30	Msze św. w dni powszednie: Cerekwica godz. 18.30; Pamiątkowo godz. 17.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,330/
Parafia pw. św. Katarzyny Sieneńskiej	http://www.choryn.archpoznan.pl	Msze św. w niedziele: Choryń: 7:30, 11:00; Kopaszewo: 9:30	Msze św. w dni powszednie: 18:30	http://www.archpoznan.pl/component/option,com_contact/Itemid,118/task,view/contact_id,124/
Parafia pw. św. Wojciecha	http://chrzypskowielkie.archpoznan.pl	Msze św. w niedziele: sobota 18.00, kaplica w Charcicach godz. 19.15; niedziela godz. 8.00, 9.30, 11.15; kaplica w Łężeczkach godz. 11.30	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,396/
Parafia pw. św. Małgorzaty	http://cielcza.archpoznan.pl	Msze św. w niedziele: 8:00, 9:30, 11:00	Msze św. w dni powszednie: 17:00 (XI-III), 18:00 (IV-X)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,172/
Parafia pw. św. Augustyna	http://www.augustynczapury.pl	Msze św. w niedziele: 9:00, 10:30, 12:00	Msze św. w dni powszednie: 18:00, (środa 9:00)	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,256/
Parafia pw. Jezusa Chrystusa Najwyższego Kapłana	http://www.wroniecka57.pl	Msze św. w niedziele: godz. 18.30 (sobota) godz.7.30,godz.9.00,godz. 11.00,godz. 12.30,godz. 17.00	Msze św. w dni powszednie: godz. 7.00 (soboty godz. 8.00),godz. 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,36/
Parafia pw. św. Marii Magdaleny	http://www.mariamagdalena.czarnkow.pl	Msze św. w niedziele: godz. 18.30 (sobota) godz. 7.30, godz. 9.30, godz. 11.00, godz. 12.30, godz. 18.00 Romanowo Dolne godz.9.00	Msze św. w dni powszednie: godz. 7.00, godz. 18.30, Romanowo Dolne: czwartek godz. 17.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,35/
Parafia pw. św. Michała Archanioła	http://www.parafia-czempin.pl	Msze św. w niedziele (oprócz niedziel w Wielkim Poście): 8.00, 10.00, 11.30, 18.00	Msze św. w dni powszednie: 8.00, 18.30	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,97/
Parafia pw. NMP Wniebowziętej	http://www.parafia.czerlejno.pl	Msze św. w niedziele: godz. 8.30, godz. 9.45, godz. 11.00	Msze św. w dni powszednie: godz. 18.00	http://www.archpoznan.pl/component/option,com_contact/task,view/contact_id,86/
